objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"1066, Tears to Many Mothers: The Battle of Hastings","155122","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","88013421","5.88739","6.98365","2.283","3932","2103","thing","1066, Tears to Many Mothers: The Battle of Hastings","1","2","60","60","30","2014","1,2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"51st State: Master Set","192458","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","48972813","7.02093","7.54185","2.8926","468","9879","thing","51st State: Master Set","1","4","90","90","60","2016","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The 7th Citadel","286063","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118798738","6.80382","8.34648","2.9643","745","10069","thing","The 7th Citadel","1","4","1000","1000","5","2024","1,2","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The 7th Continent","180263","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","48972740","7.42356","7.73374","2.8983","162","38722","thing","The 7th Continent","1","4","1000","1000","5","2017","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The 7th Continent: Facing the Elements","186987","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48972746","6.00871","7.96049","2.5","0","7689","thing","The 7th Continent: Facing the Elements","1","4","1000","1000","5","2017","1,2","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: Fear the Devourers","186381","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48972750","5.95129","7.83839","2.5714","0","7272","thing","The 7th Continent: Fear the Devourers","1","4","1000","1000","5","2017","1,2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: Path of Repentance","185743","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48972751","5.9941","8.07306","2.1429","0","7632","thing","The 7th Continent: Path of Repentance","1","4","1000","1000","5","2017","1,2","1","8+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: Swamp of Madness","184904","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48972753","6.01666","8.16102","3","0","8332","thing","The 7th Continent: Swamp of Madness","1","4","1000","1000","5","2017","1,2","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: The Forbidden Sanctuary","184186","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48972755","6.09323","8.17526","2.875","0","9625","thing","The 7th Continent: The Forbidden Sanctuary","1","4","1000","1000","5","2017","1,2","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: The Icy Maze","183660","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48972757","6.06119","7.90154","2.8333","0","9787","thing","The 7th Continent: The Icy Maze","1","4","1000","1000","5","2017","1,2","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"An Age Contrived","357890","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118798731","5.75126","6.79971","3.5","5375","1909","thing","An Age Contrived","1","5","120","120","90","2024","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola","31260","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","11860255","7.72679","7.85894","3.6353","64","89861","thing","Agricola","1","5","150","150","30","2007","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Aliens","1770","6","0","0","1","0","0","0","0","0","0","0","1","","","","","","4713449","5.89813","7.30817","2.2254","3855","1072","thing","Aliens","1","9","90","90","90","1989","1,2,3,4,5,6","1,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Anachrony","185343","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131503005","7.73393","8.04457","4.0026","62","26948","thing","Anachrony","1","4","120","120","30","2017","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Android: Netrunner","124742","9","0","3","1","0","0","0","0","0","0","0","3","","","","","","20470469","7.65266","7.89181","3.415","82","47253","thing","Android: Netrunner","2","2","45","45","45","2012","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Android: Netrunner – A Study in Static","135103","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","20480276","6.08793","8.06768","3.1765","0","5442","thing","Android: Netrunner – A Study in Static","2","2","45","45","45","2013","2","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Creation and Control","139596","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","20480277","6.3001","8.21688","3.22","0","6658","thing","Android: Netrunner – Creation and Control","2","2","45","45","45","2013","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Cyber Exodus","133500","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","20480278","6.1767","8.16488","3.3056","0","6035","thing","Android: Netrunner – Cyber Exodus","2","2","45","45","45","2013","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Future Proof","137863","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","20480281","6.0861","8.18945","3.3793","0","5316","thing","Android: Netrunner – Future Proof","2","2","45","45","45","2013","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Humanity's Shadow","136147","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","20480283","6.08155","8.15727","3.2581","0","5316","thing","Android: Netrunner – Humanity's Shadow","2","2","45","45","45","2013","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Terminal Directive","213269","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48972804","5.75111","7.23646","3.5","0","2672","thing","Android: Netrunner – Terminal Directive","2","2","45","45","45","2017","2","2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Trace Amount","132005","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","20480288","6.18416","8.12379","3.28","0","6103","thing","Android: Netrunner – Trace Amount","2","2","45","45","45","2013","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Aqua Romana","20080","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","11877895","5.83321","6.3121","2.1598","4411","2441","thing","Aqua Romana","2","4","60","60","45","2005","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Architects of the West Kingdom","236457","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","72885024","7.51375","7.70908","2.761","129","44329","thing","Architects of the West Kingdom","1","5","80","80","60","2018","1,2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcs","359871","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131382060","7.58551","8.01989","3.433","102","27568","thing","Arcs","2","4","120","120","60","2024","2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcs: Leaders & Lore Pack","419279","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131411124","6.61175","8.56846","3.2778","0","10120","thing","Arcs: Leaders & Lore Pack","2","4","120","120","60","2024","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arcs: The Blighted Reach Expansion","363757","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131411110","6.90569","8.86888","4.5215","0","8710","thing","Arcs: The Blighted Reach Expansion","2","4","0","0","0","2024","2,3,4","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arctic Scavengers: Base Game+HQ+Recon","174226","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","41304706","6.42472","7.15919","2.27","0","6242","thing","Arctic Scavengers: Base Game+HQ+Recon","1","5","60","60","45","2015","2,3,4,5","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror (Third Edition)","257499","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","55426460","7.13881","7.67828","3.372","352","21450","thing","Arkham Horror (Third Edition)","1","6","180","180","120","2018","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game","205637","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","41304735","7.89146","8.12156","3.5641","32","83077","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arydia: The Paths We Dare Tread","219650","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128864969","7.07062","9.02514","3.3019","417","5308","thing","Arydia: The Paths We Dare Tread","1","4","240","240","60","2025","1,2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Arydia: The Paths We Dare Tread – Epic Hunt","344086","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128906665","5.66198","8.67283","0","0","1697","thing","Arydia: The Paths We Dare Tread – Epic Hunt","1","4","120","120","60","2025","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Ascension: Deckbuilding Game","69789","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","12834291","6.75936","7.04507","2.1373","813","15602","thing","Ascension: Deckbuilding Game","1","4","30","30","30","2010","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Attack!","6752","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","7546474","5.60072","5.83307","2.5488","9270","3877","thing","Attack!","2","6","180","180","180","2003","3,4,5,6","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Attack!: Expansion","6751","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","7546478","5.73946","6.51293","2.8655","0","1864","thing","Attack!: Expansion","2","6","180","180","180","2003","3,4,5,6","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Axis & Allies","10093","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","4713491","6.2489","6.68966","3.2226","2020","8216","thing","Axis & Allies","2","5","240","240","240","2004","2,3,4,5","2,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Azul","230802","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","48972720","7.60823","7.71792","1.7755","96","180437","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Battlecars","2368","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","7546446","5.60376","6.25611","1.9796","9114","839","thing","Battlecars","2","4","90","90","90","1983","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal at House on the Hill","10547","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","72620516","6.78871","7.01034","2.3995","762","85981","thing","Betrayal at House on the Hill","3","6","60","60","60","2004","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal at House on the Hill: Widow's Walk","198452","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","72620526","6.66764","7.43971","2.7647","0","18944","thing","Betrayal at House on the Hill: Widow's Walk","3","6","60","0","60","2016","3,4,5,6","4,5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Betrayal Legacy","240196","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","56745026","6.90541","7.64981","2.8989","610","12376","thing","Betrayal Legacy","3","5","90","90","45","2018","3,4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
